work_year,experience_level,employee_residence,remote_ratio,company_location,company_size,salario_eur,job_title_mean,company_location_mean,employee_location_mean,job_title_map,employment_type_encoded
137121.89788235293,3,4,0,3,2,124200.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,97060.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,269560.0,150059.7081081081,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,170200.0,150059.7081081081,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,73600.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,64400.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,202400.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,147200.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,161000.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,100,3,2,133400.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,184000.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,136620.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,40,0,35,2,44425.880000000005,129600.18423809524,53061.97974025974,55626.28200000001,1,2
137121.89788235293,3,40,0,35,2,35540.520000000004,129600.18423809524,53061.97974025974,55626.28200000001,1,2
